row_id,positive,sample_n
1206,252,255
1207,212,214
1208,171,176
1209,217,219
1210,238,240
1211,201,203
1212,250,262
1213,263,269
1214,268,270
1215,346,349
1216,302,305
1217,104,105
1218,273,276
1219,272,279
1220,230,232
1221,194,196
1222,87,89
1223,79,102
1224,96,97
1225,119,120
1226,105,106
1227,84,86
1228,93,95
1229,101,103
1230,89,95
1231,112,114
1232,62,67
1233,67,68
1234,52,59
1235,58,59
1236,56,57
1237,65,66
1238,49,50
1239,63,64
1240,56,57
1241,64,66
1242,61,71
1243,66,77
1244,75,75
1245,67,68
1246,70,73
1247,72,73
1248,74,76
1249,60,67
1250,70,71
1251,61,62
1252,104,117
1253,94,95
1254,101,103
1255,98,102
1256,106,107
1257,101,103
1258,90,92
1259,88,90
1260,96,98
1261,54,56
1262,71,78
1263,101,102
1264,104,105
1265,99,100
1266,101,102
1267,99,100
1268,100,103
1269,131,133
1270,99,100
1271,45,50
1272,46,49
1273,48,48
1274,62,63
1275,56,57
1276,88,91
1277,50,51
1278,57,58
1279,69,70
1280,71,73
1281,76,84
1282,71,72
1283,74,75
1284,99,101
1285,90,92
1286,89,91
1287,91,93
1288,94,98
1289,68,70
1290,40,42
1291,115,117
1292,113,114
1293,142,146
1294,192,194
1295,165,167
1296,147,148
1297,147,148
1298,152,159
1299,116,117
1300,101,102
1301,199,209
1302,148,152
1303,122,123
1304,119,121
1305,123,124
1306,99,100
1307,83,85
1308,106,108
1309,79,81
1310,78,80
1311,66,80
1312,52,58
1313,44,55
1314,36,38
1315,58,59
1316,40,42
1317,5,37
1318,37,39
1319,40,42
1320,112,116
1321,95,100
1322,99,100
1323,97,99
1324,104,105
1325,99,100
1326,101,102
1327,153,155
1328,148,150
1329,58,60
1330,82,84
1331,94,96
1332,71,72
1333,93,95
1334,88,90
1335,91,93
1336,81,83
1337,74,76
1338,57,58
1339,67,68
1340,67,69
1341,75,75
1342,85,87
1343,94,96
1344,82,84
1345,92,94
1346,56,57
1347,51,52
1348,67,68
1349,44,44
1350,54,56
1351,47,47
1352,39,41
1353,46,48
1354,41,43
1355,44,46
1356,32,32
1357,29,31
1358,23,23
1359,19,20
1360,21,22
1361,75,77
1362,73,74
1363,56,57
1364,47,54
1365,54,58
1366,64,71
1367,46,48
1368,21,21
1369,24,25
1370,68,69
1371,46,48
1372,69,70
1373,80,82
1374,99,100
1375,93,95
1376,75,77
1377,74,76
1378,61,73
1379,53,64
1380,72,74
1381,78,80
1382,76,78
1383,87,89
1384,66,67
1385,14,78
1386,69,73
1387,66,67
1388,83,99
1389,27,102
1390,118,120
1391,103,104
1392,97,99
1393,91,95
1394,97,104
1395,50,85
1396,87,92
1397,75,86
1398,68,69
1399,93,95
1400,90,92
1401,74,76
1402,88,90
1403,100,101
1404,47,47
1405,40,40
1406,61,70
1407,58,71
1408,61,62
1409,60,61
1410,69,70
1411,57,59
1412,60,62
1413,65,66
1414,60,64
1415,72,72
1416,70,72
1417,66,72
1418,65,74
1419,68,69
1420,69,71
1421,56,59
1422,38,42
1423,57,65
1424,17,18
1425,13,13
1426,16,17
1427,112,115
1428,114,119
1429,118,119
1430,122,124
1431,114,117
1432,123,124
1433,103,107
1434,99,100
1435,82,84
